posterior_strategy_requested,audited_token_count,changed_token_count,token_error_rate,original_uncertainty_sequence_exact_delta,validated_uncertainty_sequence_exact_delta,validated_minus_original_uncertainty_sequence_exact_delta,original_uncertainty_sequence_topk_delta,validated_uncertainty_sequence_topk_delta,validated_minus_original_uncertainty_sequence_topk_delta,original_uncertainty_symbol_topk_delta,validated_uncertainty_symbol_topk_delta,validated_minus_original_uncertainty_symbol_topk_delta,original_conformal_sequence_exact_delta,validated_conformal_sequence_exact_delta,validated_minus_original_conformal_sequence_exact_delta
cluster_distance,126,2,0.015873015873015872,-0.12499999999999997,-0.12499999999999997,0.0,0.05555555555555554,0.05555555555555554,0.0,0.08441558441558442,0.08441558441558442,0.0,0.2222222222222222,0.2222222222222222,0.0
calibrated_classifier,126,2,0.015873015873015872,-0.055555555555555525,-0.055555555555555525,0.0,0.05555555555555558,0.05555555555555558,0.0,0.04220779220779222,0.04220779220779222,0.0,0.055555555555555525,0.055555555555555525,0.0
