dataset,task_group,example_id,run_dir,synthetic_from_real,is_real_grouped,ambiguity_level,ambiguity_regime,posterior_strategy_requested,is_calibrated,method,baseline_method,method_family,is_conformal,sequence_length,symbol_topk_accuracy,grouped_topk_success,grouped_exact_success,grouped_token_accuracy,downstream_kind,downstream_exact_success,downstream_partial_success,symbol_topk_delta,grouped_topk_delta,grouped_exact_delta,grouped_token_delta,downstream_exact_delta,downstream_partial_delta,symbol_rescue,grouped_topk_rescue,grouped_exact_rescue,downstream_exact_rescue,downstream_partial_rescue,prediction_set_coverage,prediction_set_avg_size,prediction_set_singleton_rate,prediction_set_rescue_rate,mean_confusion_entropy,mean_confusion_set_size,real_downstream_bank_coverage,dataset_support_upper_bound,full_support_indicator
omniglot,synthetic_markov,test_seq_0005,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.6666666666666666,none,,,0.41666666666666663,0.0,0.0,0.08333333333333326,,,1.0,0.0,0.0,,,1.0,5.0,0.08333333333333333,0.4166666666666667,1.2569158400527325,5.0,,,
omniglot,synthetic_markov,test_seq_0005,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,1.0,0.0,0.0,0.6666666666666666,none,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,3.0,0.08333333333333333,0.4166666666666667,0.9108491779737165,3.0,,,
omniglot,synthetic_markov,test_seq_0006,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.08333333333333333,none,,,0.5833333333333333,0.0,0.0,-0.33333333333333337,,,1.0,0.0,0.0,,,1.0,5.166666666666667,0.0,0.5833333333333334,1.284157230490597,5.166666666666667,,,
omniglot,synthetic_markov,test_seq_0006,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,0.9166666666666666,0.0,0.0,0.25,none,,,-0.08333333333333337,0.0,0.0,0.16666666666666669,,,0.0,0.0,0.0,,,0.9166666666666666,2.75,0.0,0.5,0.866374525397172,2.75,,,
omniglot,synthetic_markov,test_seq_0007,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.5833333333333334,none,,,0.25,0.0,0.0,-0.16666666666666663,,,1.0,0.0,0.0,,,1.0,5.166666666666667,0.0,0.25,1.234577616399135,5.166666666666667,,,
omniglot,synthetic_markov,test_seq_0007,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,0.9166666666666666,0.0,0.0,0.9166666666666666,none,,,-0.08333333333333337,0.0,0.0,0.33333333333333326,,,0.0,0.0,0.0,,,0.9166666666666666,2.9166666666666665,0.16666666666666666,0.16666666666666666,0.8007962431047444,2.9166666666666665,,,
omniglot,synthetic_markov,test_seq_0008,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.4166666666666667,none,,,0.5,0.0,0.0,-0.08333333333333331,,,1.0,0.0,0.0,,,1.0,5.416666666666667,0.0,0.5,1.366554962585654,5.416666666666667,,,
omniglot,synthetic_markov,test_seq_0008,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,1.0,0.0,0.0,0.4166666666666667,none,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,3.0,0.0,0.5,0.9571767068078731,3.0,,,
omniglot,synthetic_markov,test_seq_0009,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.4166666666666667,none,,,0.5,0.0,0.0,-0.08333333333333331,,,1.0,0.0,0.0,,,1.0,4.75,0.08333333333333333,0.5,1.1213286559665663,4.75,,,
omniglot,synthetic_markov,test_seq_0009,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,0.9166666666666666,0.0,0.0,0.4166666666666667,none,,,-0.08333333333333337,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.9166666666666666,2.5833333333333335,0.08333333333333333,0.4166666666666667,0.7536807964959676,2.5833333333333335,,,
