dataset,task_groups,symbol_rescue_rate,grouped_topk_rescue_rate,grouped_given_symbol_rescue_rate,downstream_exact_rescue_rate,downstream_given_grouped_rescue_rate,mean_entropy,mean_set_size,mean_support
historical_newspapers,real_grouped_downstream_redesigned,0.1284722222222222,0.1284722222222222,0.5405405405405406,0.1076388888888889,0.6216216216216216,0.21225650096494622,1.6319444444444444,0.8777777777777778
kuzushiji49,"synthetic_markov,synthetic_process_family",0.4733072916666667,0.064453125,0.12104539202200826,0.12890625,0.36065573770491804,0.7232047087580501,3.0237630208333335,
omniglot,"synthetic_markov,synthetic_process_family",0.4739583333333333,0.016276041666666668,0.03296703296703297,0.04296875,0.5,0.6597022965728496,3.256456163194444,
scadsai,real_grouped_downstream_redesigned,0.3611111111111111,0.1909722222222222,0.41346153846153844,0.04513888888888889,0.23636363636363636,0.7762474795827847,2.8168402777777777,1.0
sklearn_digits,"synthetic_markov,synthetic_process_family",0.455078125,0.05078125,0.09155937052932761,0.09895833333333333,0.25,0.6756335170962794,2.832465277777778,
