posterior_strategy_requested,original_uncertainty_sequence_exact_delta,audited_uncertainty_sequence_exact_delta,gold_uncertainty_sequence_exact_delta,original_uncertainty_sequence_topk_delta,audited_uncertainty_sequence_topk_delta,gold_uncertainty_sequence_topk_delta,original_uncertainty_symbol_topk_delta,audited_uncertainty_symbol_topk_delta,gold_uncertainty_symbol_topk_delta,original_conformal_sequence_exact_delta,audited_conformal_sequence_exact_delta,gold_conformal_sequence_exact_delta,gold_minus_original_conformal_sequence_exact_delta
cluster_distance,-0.12499999999999997,-0.12499999999999997,-0.12499999999999997,0.05555555555555554,0.05555555555555554,0.05555555555555554,0.08441558441558442,0.08441558441558442,0.08441558441558442,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0
calibrated_classifier,-0.055555555555555525,-0.055555555555555525,-0.055555555555555525,0.05555555555555558,0.05555555555555558,0.05555555555555558,0.04220779220779222,0.04220779220779222,0.04220779220779222,0.055555555555555525,0.055555555555555525,0.055555555555555525,0.0
