dataset,case_type,ambiguity_level,condition_group,count
kuzushiji49_balanced_crops,overdiffuse_posterior,0.45,uncertainty_calibrated,3030
kuzushiji49_balanced_crops,overdiffuse_posterior,0.45,uncertainty_heuristic,4142
kuzushiji49_balanced_crops,top1_collapse_but_topk_rescue,0.0,uncertainty_calibrated,1626
kuzushiji49_balanced_crops,top1_collapse_but_topk_rescue,0.0,uncertainty_heuristic,1758
kuzushiji49_balanced_crops,top1_collapse_but_topk_rescue,0.45,uncertainty_calibrated,1846
kuzushiji49_balanced_crops,top1_collapse_but_topk_rescue,0.45,uncertainty_heuristic,1967
kuzushiji49_balanced_crops,uncertainty_helped_symbols_not_downstream,0.0,calibrated_classifier,1626
kuzushiji49_balanced_crops,uncertainty_helped_symbols_not_downstream,0.0,cluster_distance,1758
kuzushiji49_balanced_crops,uncertainty_helped_symbols_not_downstream,0.45,calibrated_classifier,1846
kuzushiji49_balanced_crops,uncertainty_helped_symbols_not_downstream,0.45,cluster_distance,1967
