dataset_label,posterior_strategy,operating_profile,review_budget_k,shortlist_utility,prediction_set_avg_size,review_efficiency,shortlist_recall_at_2,shortlist_recall_at_3,shortlist_recall_at_5,fragile_case_rate,fragile_shortlist_utility,fragile_recall_at_2,fragile_prediction_set_avg_size,fragile_review_efficiency,defer_rate,budgeted_recall,budget_compliance_rate,review_load_proxy,effort_adjusted_utility,rescue_per_review_item,best_fixed_effort_adjusted_utility,grouped_topk_delta,downstream_exact_delta,shortlist_gap_to_best_fixed,review_efficiency_gap_to_best_fixed,effort_adjusted_gap_to_best_fixed,best_fixed_shortlist_method,best_fixed_review_efficiency_method,best_fixed_effort_method
historical_newspapers_real_grouped,cluster_distance,rescue_first,2,0.6180555555555556,3.0474537037037033,0.2028104823395367,0.5833333333333333,0.625,0.6944444444444444,0.0,,,,,0.0,0.5833333333333334,0.041666666666666664,1.9583333333333333,0.3125,0.3680555555555556,0.7226190476190476,0.05555555555555547,,-0.14583333333333326,-0.484546318326991,-0.4101190476190476,conformal_beam,conformal_beam,conformal_beam
historical_newspapers_real_grouped,calibrated_classifier,rescue_first,2,0.8472222222222222,1.1324074074074075,0.7481602616516762,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.0,,,,,0.0,0.8472222222222222,1.0,1.1324074074074073,0.7783730158730159,0.7783730158730159,0.8194444444444444,0.02777777777777779,,-0.005555555555555536,-0.07128418279276827,-0.04107142857142854,uncertainty_trigram_beam,fixed_greedy,fixed_greedy
historical_newspapers_real_grouped,cluster_distance,rescue_first,3,0.6180555555555556,3.0474537037037033,0.2028104823395367,0.5833333333333333,0.625,0.6944444444444444,0.0,,,,,0.0,0.625,0.5277777777777778,2.8134259259259258,0.24687781354448024,0.2704468371135038,0.7226190476190476,0.05555555555555547,,-0.14583333333333326,-0.484546318326991,-0.47574123407456737,conformal_beam,conformal_beam,conformal_beam
historical_newspapers_real_grouped,calibrated_classifier,rescue_first,3,0.8472222222222222,1.1324074074074075,0.7481602616516762,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.0,,,,,0.0,0.8472222222222222,1.0,1.1324074074074073,0.7783730158730159,0.7783730158730159,0.8194444444444444,0.02777777777777779,,-0.005555555555555536,-0.07128418279276827,-0.04107142857142854,uncertainty_trigram_beam,fixed_greedy,fixed_greedy
historical_newspapers_real_grouped,cluster_distance,rescue_first,5,0.6180555555555556,3.0474537037037033,0.2028104823395367,0.5833333333333333,0.625,0.6944444444444444,0.0,,,,,0.0,0.6944444444444444,1.0,3.0474537037037037,0.25834793950602775,0.25834793950602775,0.7226190476190476,0.05555555555555547,,-0.14583333333333326,-0.484546318326991,-0.46427110811301986,conformal_beam,conformal_beam,conformal_beam
historical_newspapers_real_grouped,calibrated_classifier,rescue_first,5,0.8472222222222222,1.1324074074074075,0.7481602616516762,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.0,,,,,0.0,0.8472222222222222,1.0,1.1324074074074073,0.7783730158730159,0.7783730158730159,0.8194444444444444,0.02777777777777779,,-0.005555555555555536,-0.07128418279276827,-0.04107142857142854,uncertainty_trigram_beam,fixed_greedy,fixed_greedy
historical_newspapers_real_grouped,cluster_distance,shortlist_first,2,0.75,1.1842592592592593,0.6333072713057075,0.75,0.75,0.75,0.0,,,,,0.0,0.75,0.9722222222222222,1.1391203703703703,0.7017857142857142,0.7017857142857142,0.7226190476190476,0.11111111111111105,,-0.01388888888888884,-0.05404952936082019,-0.02083333333333337,conformal_beam,conformal_beam,conformal_beam
historical_newspapers_real_grouped,calibrated_classifier,shortlist_first,2,0.836111111111111,1.1148148148148147,0.75,0.8333333333333333,0.8333333333333333,0.8472222222222222,0.0,,,,,0.0,0.8333333333333334,0.9722222222222222,1.1078703703703705,0.7871693121693121,0.7941137566137565,0.8194444444444444,0.02777777777777779,,-0.01666666666666672,-0.06944444444444442,-0.032275132275132346,uncertainty_trigram_beam,fixed_greedy,fixed_greedy
historical_newspapers_real_grouped,cluster_distance,shortlist_first,3,0.75,1.1842592592592593,0.6333072713057075,0.75,0.75,0.75,0.0,,,,,0.0,0.75,0.9722222222222222,1.1668981481481482,0.6994708994708995,0.6994708994708995,0.7226190476190476,0.11111111111111105,,-0.01388888888888884,-0.05404952936082019,-0.02314814814814814,conformal_beam,conformal_beam,conformal_beam
historical_newspapers_real_grouped,calibrated_classifier,shortlist_first,3,0.836111111111111,1.1148148148148147,0.75,0.8333333333333333,0.8333333333333333,0.8472222222222222,0.0,,,,,0.0,0.8333333333333334,1.0,1.114814814814815,0.7863977072310406,0.7925705467372135,0.8194444444444444,0.02777777777777779,,-0.01666666666666672,-0.06944444444444442,-0.03304673721340379,uncertainty_trigram_beam,fixed_greedy,fixed_greedy
