controller_label,mean_grouped_topk_delta,mean_downstream_exact_delta,mean_prediction_set_size,mean_conformal_rate,mean_beam_width,mean_vs_best_downstream_gap
rule,0.15972222222222218,-0.01736111111111114,2.7625578703703706,0.16319444444444445,8.916666666666666,-0.06944444444444448
learned,0.15624999999999997,0.027777777777777728,1.9784143518518518,0.6440972222222222,5.972222222222221,-0.0243055555555556
constrained,0.16666666666666663,-0.017361111111111112,2.7135416666666665,0.15277777777777776,9.0,-0.06944444444444445
