dataset_label,posterior_strategy,controller_label,shortlist_recall_at_2,shortlist_recall_at_3,shortlist_recall_at_5,shortlist_utility,grouped_topk_delta,downstream_exact_delta,prediction_set_avg_size
historical_newspapers_real_grouped,cluster_distance,rule,0.5694444444444444,0.625,0.6944444444444444,0.611111111111111,0.05555555555555547,,3.0821759259259256
historical_newspapers_real_grouped,calibrated_classifier,rule,0.8055555555555555,0.8055555555555555,0.8194444444444444,0.8083333333333332,0.0,,1.0583333333333333
historical_newspapers_real_grouped,cluster_distance,learned,0.75,0.75,0.75,0.75,0.11111111111111105,,1.1842592592592593
historical_newspapers_real_grouped,calibrated_classifier,learned,0.8333333333333333,0.8333333333333333,0.8472222222222222,0.836111111111111,0.02777777777777779,,1.1148148148148147
historical_newspapers_real_grouped,cluster_distance,constrained,0.5833333333333333,0.625,0.6944444444444444,0.6180555555555556,0.05555555555555547,,3.0474537037037033
historical_newspapers_real_grouped,calibrated_classifier,constrained,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.02777777777777779,,1.1324074074074075
historical_newspapers_real_grouped,cluster_distance,profile_selector,0.7222222222222222,0.7222222222222222,0.7361111111111112,0.725,0.09722222222222221,,1.462037037037037
historical_newspapers_real_grouped,calibrated_classifier,profile_selector,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.02777777777777779,,1.0800925925925926
historical_newspapers_real_grouped,cluster_distance,rescue_first@k=2,0.5833333333333333,0.625,0.6944444444444444,0.6180555555555556,0.05555555555555547,,3.0474537037037033
historical_newspapers_real_grouped,calibrated_classifier,rescue_first@k=2,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.02777777777777779,,1.1324074074074075
historical_newspapers_real_grouped,cluster_distance,rescue_first@k=3,0.5833333333333333,0.625,0.6944444444444444,0.6180555555555556,0.05555555555555547,,3.0474537037037033
historical_newspapers_real_grouped,calibrated_classifier,rescue_first@k=3,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.02777777777777779,,1.1324074074074075
