dataset_label,posterior_strategy,operating_profile,review_budget_k,budgeted_recall,budget_compliance_rate,defer_rate,review_load_proxy,effort_adjusted_utility,rescue_per_review_item,best_fixed_effort_adjusted_utility,best_fixed_effort_method,effort_adjusted_gap_to_best_fixed,grouped_topk_delta,downstream_exact_delta,fragile_budgeted_recall,fragile_budget_compliance_rate,fragile_defer_rate,fragile_review_load_proxy,fragile_effort_adjusted_utility
historical_newspapers_real_grouped,cluster_distance,rescue_first,2,0.5833333333333334,0.041666666666666664,0.0,1.9583333333333333,0.3125,0.3680555555555556,0.7226190476190476,conformal_beam,-0.4101190476190476,0.05555555555555547,,,,0.0,,
historical_newspapers_real_grouped,calibrated_classifier,rescue_first,2,0.8472222222222222,1.0,0.0,1.1324074074074073,0.7783730158730159,0.7783730158730159,0.8194444444444444,fixed_greedy,-0.04107142857142854,0.02777777777777779,,,,0.0,,
historical_newspapers_real_grouped,cluster_distance,rescue_first,3,0.625,0.5277777777777778,0.0,2.8134259259259258,0.24687781354448024,0.2704468371135038,0.7226190476190476,conformal_beam,-0.47574123407456737,0.05555555555555547,,,,0.0,,
historical_newspapers_real_grouped,calibrated_classifier,rescue_first,3,0.8472222222222222,1.0,0.0,1.1324074074074073,0.7783730158730159,0.7783730158730159,0.8194444444444444,fixed_greedy,-0.04107142857142854,0.02777777777777779,,,,0.0,,
historical_newspapers_real_grouped,cluster_distance,rescue_first,5,0.6944444444444444,1.0,0.0,3.0474537037037037,0.25834793950602775,0.25834793950602775,0.7226190476190476,conformal_beam,-0.46427110811301986,0.05555555555555547,,,,0.0,,
historical_newspapers_real_grouped,calibrated_classifier,rescue_first,5,0.8472222222222222,1.0,0.0,1.1324074074074073,0.7783730158730159,0.7783730158730159,0.8194444444444444,fixed_greedy,-0.04107142857142854,0.02777777777777779,,,,0.0,,
historical_newspapers_real_grouped,cluster_distance,shortlist_first,2,0.75,0.9722222222222222,0.0,1.1391203703703703,0.7017857142857142,0.7017857142857142,0.7226190476190476,conformal_beam,-0.02083333333333337,0.11111111111111105,,,,0.0,,
historical_newspapers_real_grouped,calibrated_classifier,shortlist_first,2,0.8333333333333334,0.9722222222222222,0.0,1.1078703703703705,0.7871693121693121,0.7941137566137565,0.8194444444444444,fixed_greedy,-0.032275132275132346,0.02777777777777779,,,,0.0,,
historical_newspapers_real_grouped,cluster_distance,shortlist_first,3,0.75,0.9722222222222222,0.0,1.1668981481481482,0.6994708994708995,0.6994708994708995,0.7226190476190476,conformal_beam,-0.02314814814814814,0.11111111111111105,,,,0.0,,
historical_newspapers_real_grouped,calibrated_classifier,shortlist_first,3,0.8333333333333334,1.0,0.0,1.114814814814815,0.7863977072310406,0.7925705467372135,0.8194444444444444,fixed_greedy,-0.03304673721340379,0.02777777777777779,,,,0.0,,
historical_newspapers_real_grouped,cluster_distance,shortlist_first,5,0.7361111111111112,1.0,0.0,1.212037037037037,0.6849206349206349,0.6849206349206349,0.7226190476190476,conformal_beam,-0.037698412698412676,0.09722222222222221,,,,0.0,,
historical_newspapers_real_grouped,calibrated_classifier,shortlist_first,5,0.8472222222222222,1.0,0.0,1.114814814814815,0.7925705467372135,0.7925705467372135,0.8194444444444444,fixed_greedy,-0.02687389770723092,0.02777777777777779,,,,0.0,,
historical_newspapers_real_downstream,cluster_distance,rescue_first,2,0.5694444444444444,0.1111111111111111,0.09722222222222222,2.0,0.3194444444444444,0.37962962962962965,0.7226190476190476,conformal_beam,-0.4031746031746032,0.05555555555555547,-0.125,0.8571428571428571,0.0,1.0,3.0,0.2857142857142857
historical_newspapers_real_downstream,calibrated_classifier,rescue_first,2,0.8472222222222222,1.0,0.0,1.1324074074074073,0.7783730158730159,0.7783730158730159,0.8194444444444444,fixed_greedy,-0.04107142857142854,0.02777777777777779,-0.01388888888888884,,,0.0,,
historical_newspapers_real_downstream,cluster_distance,rescue_first,3,0.625,0.4861111111111111,0.09722222222222222,2.8078703703703702,0.27648709315375986,0.29889870931537604,0.7226190476190476,conformal_beam,-0.44613195446528775,0.05555555555555547,-0.125,0.8571428571428571,0.0,1.0,4.0,0.21428571428571427
historical_newspapers_real_downstream,calibrated_classifier,rescue_first,3,0.8472222222222222,1.0,0.0,1.1324074074074073,0.7783730158730159,0.7783730158730159,0.8194444444444444,fixed_greedy,-0.04107142857142854,0.02777777777777779,-0.01388888888888884,,,0.0,,
historical_newspapers_real_downstream,cluster_distance,rescue_first,5,0.6944444444444444,1.0,0.0,2.772453703703704,0.34489145114145114,0.34489145114145114,0.7226190476190476,conformal_beam,-0.37772759647759646,0.05555555555555547,-0.125,1.0,1.0,0.0,1.457142857142857,0.8253968253968254
historical_newspapers_real_downstream,calibrated_classifier,rescue_first,5,0.8472222222222222,1.0,0.0,1.1324074074074073,0.7783730158730159,0.7783730158730159,0.8194444444444444,fixed_greedy,-0.04107142857142854,0.02777777777777779,-0.01388888888888884,,,0.0,,
historical_newspapers_real_downstream,cluster_distance,shortlist_first,2,0.7083333333333334,0.8472222222222222,0.09722222222222222,1.353009259259259,0.6115079365079364,0.616137566137566,0.7226190476190476,conformal_beam,-0.11111111111111116,0.08333333333333326,0.05555555555555547,0.8571428571428571,0.0,1.0,3.0,0.2857142857142857
historical_newspapers_real_downstream,calibrated_classifier,shortlist_first,2,0.8333333333333334,0.9722222222222222,0.0,1.1078703703703705,0.7871693121693121,0.7941137566137565,0.8194444444444444,fixed_greedy,-0.032275132275132346,0.02777777777777779,-0.01388888888888895,,,0.0,,
historical_newspapers_real_downstream,cluster_distance,shortlist_first,3,0.7083333333333334,0.875,0.09722222222222222,1.4988425925925926,0.6022486772486773,0.6057208994708995,0.7226190476190476,conformal_beam,-0.12037037037037035,0.08333333333333326,0.05555555555555547,0.8571428571428571,0.0,1.0,4.0,0.21428571428571427
historical_newspapers_real_downstream,calibrated_classifier,shortlist_first,3,0.8333333333333334,1.0,0.0,1.114814814814815,0.7863977072310406,0.7925705467372135,0.8194444444444444,fixed_greedy,-0.03304673721340379,0.02777777777777779,-0.01388888888888895,,,0.0,,
historical_newspapers_real_downstream,cluster_distance,shortlist_first,5,0.7361111111111112,1.0,0.0,1.2675925925925926,0.6696428571428572,0.6696428571428572,0.7226190476190476,conformal_beam,-0.0529761904761904,0.09722222222222221,0.04166666666666663,1.0,1.0,0.0,1.0857142857142859,0.9285714285714286
historical_newspapers_real_downstream,calibrated_classifier,shortlist_first,5,0.8472222222222222,1.0,0.0,1.114814814814815,0.7925705467372135,0.7925705467372135,0.8194444444444444,fixed_greedy,-0.02687389770723092,0.02777777777777779,-0.01388888888888895,,,0.0,,
scadsai_real_grouped,cluster_distance,rescue_first,2,0.2916666666666667,0.0,0.5416666666666666,2.5416666666666665,0.11805555555555555,0.19212962962962962,0.19563492063492063,conformal_beam,-0.07757936507936508,0.3333333333333333,,0.3076923076923077,0.0,1.0,3.0,0.10256410256410256
scadsai_real_grouped,calibrated_classifier,rescue_first,2,0.3472222222222222,0.19444444444444445,0.0,1.9548611111111112,0.1853835978835979,0.27764550264550264,0.2777777777777778,fixed_greedy,-0.09239417989417989,0.25,,,,0.0,,
scadsai_real_grouped,cluster_distance,rescue_first,3,0.3333333333333333,0.0,0.5416666666666666,3.5416666666666665,0.09606481481481481,0.13425925925925924,0.19208553791887123,conformal_beam,-0.09602072310405642,0.3333333333333333,,0.3333333333333333,0.0,1.0,4.0,0.08333333333333333
scadsai_real_grouped,calibrated_classifier,rescue_first,3,0.4305555555555556,0.625,0.0,2.5868055555555554,0.19014951098284427,0.22972182138848807,0.2777777777777778,fixed_greedy,-0.08762826679493352,0.25,,,,0.0,,
scadsai_real_grouped,cluster_distance,rescue_first,5,0.4583333333333333,1.0,0.0,3.9340277777777777,0.1171626984126984,0.1171626984126984,0.24907407407407403,conformal_beam,-0.13191137566137562,0.3333333333333333,,0.41025641025641024,1.0,0.0,4.0,0.10256410256410256
scadsai_real_grouped,calibrated_classifier,rescue_first,5,0.5277777777777778,1.0,0.0,2.7847222222222223,0.22189014689014688,0.22189014689014688,0.2777777777777778,fixed_greedy,-0.05588763088763091,0.25,,,,0.0,,
scadsai_real_grouped,cluster_distance,shortlist_first,2,0.3472222222222222,0.4583333333333333,0.5416666666666666,2.34375,0.17989417989417988,0.20634920634920637,0.19563492063492063,conformal_beam,-0.01574074074074075,0.29166666666666663,,0.3076923076923077,0.0,1.0,3.0,0.10256410256410256
scadsai_real_grouped,calibrated_classifier,shortlist_first,2,0.3472222222222222,0.2777777777777778,0.0,1.9340277777777777,0.18968253968253967,0.2621031746031746,0.2777777777777778,fixed_greedy,-0.08809523809523812,0.20833333333333331,,,,0.0,,
scadsai_real_grouped,cluster_distance,shortlist_first,3,0.3611111111111111,0.4583333333333333,0.5416666666666666,2.8854166666666665,0.16947751322751323,0.18783068783068782,0.19208553791887123,conformal_beam,-0.022608024691358003,0.29166666666666663,,0.3333333333333333,0.0,1.0,4.0,0.08333333333333333
scadsai_real_grouped,calibrated_classifier,shortlist_first,3,0.4305555555555556,0.7222222222222222,0.0,2.4965277777777777,0.20068742985409654,0.22714245630912297,0.2777777777777778,fixed_greedy,-0.07709034792368125,0.20833333333333331,,,,0.0,,
scadsai_real_grouped,cluster_distance,shortlist_first,5,0.375,1.0,0.0,1.7708333333333333,0.22978395061728396,0.22978395061728396,0.24907407407407403,conformal_beam,-0.01929012345679007,0.24999999999999994,,0.3333333333333333,1.0,0.0,1.9423076923076923,0.18001628001628
scadsai_real_grouped,calibrated_classifier,shortlist_first,5,0.4861111111111111,1.0,0.0,2.6041666666666665,0.223164027330694,0.223164027330694,0.2777777777777778,fixed_greedy,-0.0546137504470838,0.20833333333333331,,,,0.0,,
scadsai_real_downstream,cluster_distance,rescue_first,2,0.2916666666666667,0.0,0.5416666666666666,2.5416666666666665,0.11805555555555555,0.19212962962962962,0.19563492063492063,conformal_beam,-0.07757936507936508,0.3333333333333333,0.1111111111111111,0.3076923076923077,0.0,1.0,3.0,0.10256410256410256
scadsai_real_downstream,calibrated_classifier,rescue_first,2,0.3472222222222222,0.19444444444444445,0.0,1.9548611111111112,0.1853835978835979,0.27764550264550264,0.2777777777777778,fixed_greedy,-0.09239417989417989,0.25,-0.04166666666666671,,,0.0,,
scadsai_real_downstream,cluster_distance,rescue_first,3,0.3333333333333333,0.0,0.5416666666666666,3.5416666666666665,0.09606481481481481,0.13425925925925924,0.19208553791887123,conformal_beam,-0.09602072310405642,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0,1.0,4.0,0.08333333333333333
scadsai_real_downstream,calibrated_classifier,rescue_first,3,0.4305555555555556,0.625,0.0,2.5868055555555554,0.19014951098284427,0.22972182138848807,0.2777777777777778,fixed_greedy,-0.08762826679493352,0.25,-0.04166666666666671,,,0.0,,
scadsai_real_downstream,cluster_distance,rescue_first,5,0.4583333333333333,1.0,0.0,3.9340277777777777,0.1171626984126984,0.1171626984126984,0.24907407407407403,conformal_beam,-0.13191137566137562,0.3333333333333333,0.1111111111111111,0.41025641025641024,1.0,0.0,4.0,0.10256410256410256
scadsai_real_downstream,calibrated_classifier,rescue_first,5,0.5277777777777778,1.0,0.0,2.7847222222222223,0.22189014689014688,0.22189014689014688,0.2777777777777778,fixed_greedy,-0.05588763088763091,0.25,-0.04166666666666671,,,0.0,,
scadsai_real_downstream,cluster_distance,shortlist_first,2,0.3472222222222222,0.4583333333333333,0.5416666666666666,2.34375,0.17989417989417988,0.20634920634920637,0.19563492063492063,conformal_beam,-0.01574074074074075,0.29166666666666663,0.1111111111111111,0.3076923076923077,0.0,1.0,3.0,0.10256410256410256
scadsai_real_downstream,calibrated_classifier,shortlist_first,2,0.3472222222222222,0.2777777777777778,0.0,1.9340277777777777,0.18968253968253967,0.2621031746031746,0.2777777777777778,fixed_greedy,-0.08809523809523812,0.20833333333333331,-0.04166666666666671,,,0.0,,
