dataset,task_name,posterior_strategy_requested,ambiguity_level,ambiguity_regime,uncertainty_sequence_exact_delta,uncertainty_sequence_topk_delta,uncertainty_token_accuracy_delta,uncertainty_cer_improvement,uncertainty_symbol_topk_delta,uncertainty_family_delta,conformal_sequence_exact_delta,conformal_sequence_topk_delta,conformal_token_accuracy_delta,conformal_cer_improvement,conformal_coverage_delta,conformal_set_size_delta,conformal_family_delta,trigram_sequence_exact_delta,trigram_sequence_topk_delta,trigram_token_accuracy_delta,trigram_cer_improvement,trigram_family_delta,crf_sequence_exact_delta,crf_sequence_topk_delta,crf_token_accuracy_delta,crf_cer_improvement,crf_family_delta,conformal_trigram_sequence_exact_delta,conformal_trigram_sequence_topk_delta,conformal_trigram_coverage_delta,conformal_trigram_set_size_delta,conformal_trigram_family_delta,conformal_crf_sequence_exact_delta,conformal_crf_sequence_topk_delta,conformal_crf_coverage_delta,conformal_crf_set_size_delta,conformal_crf_family_delta,family_signal_available
historical_newspapers_real_grouped_gold,real_grouped_manifest_sequences,cluster_distance,0.0,low,-0.2777777777777777,-0.11111111111111105,-0.09259259259259256,-0.09259259259259262,0.025974025974025983,,0.2777777777777777,0.11111111111111105,0.09259259259259256,0.09259259259259262,-0.02777777777777779,-1.7037037037037037,,-0.11111111111111116,0.16666666666666663,0.002777777777777768,0.0027777777777777957,,0.0,-0.16666666666666663,0.0,0.0,,0.38888888888888884,-0.05555555555555558,-0.02777777777777779,-1.7037037037037037,,0.2777777777777777,0.2777777777777777,-0.02777777777777779,-1.7037037037037037,,0.0
historical_newspapers_real_grouped_gold,real_grouped_manifest_sequences,cluster_distance,0.15,low,-0.2222222222222222,-0.11111111111111116,-0.09259259259259256,-0.09259259259259259,0.051948051948051965,,0.2222222222222222,0.11111111111111116,0.09259259259259256,0.09259259259259259,-0.05555555555555558,-1.994444444444445,,-0.2777777777777778,0.05555555555555558,-0.12685185185185177,-0.12685185185185188,,0.0,-0.11111111111111105,0.0,0.0,,0.5,0.05555555555555558,-0.05555555555555558,-1.994444444444445,,0.2222222222222222,0.2222222222222222,-0.05555555555555558,-1.994444444444445,,0.0
historical_newspapers_real_grouped_gold,real_grouped_manifest_sequences,cluster_distance,0.3,medium,-0.05555555555555558,0.11111111111111105,-0.06759259259259265,-0.06759259259259259,0.09090909090909094,,0.2222222222222222,0.11111111111111116,0.09259259259259256,0.0925925925925926,-0.05555555555555558,-2.0509259259259256,,-0.3888888888888889,-0.16666666666666663,-0.1601851851851852,-0.1601851851851852,,0.0,-0.16666666666666663,0.0,0.0,,0.4444444444444445,0.2777777777777778,-0.05555555555555558,-2.0509259259259256,,0.2222222222222222,0.2222222222222222,-0.05555555555555558,-2.0509259259259256,,0.0
historical_newspapers_real_grouped_gold,real_grouped_manifest_sequences,cluster_distance,0.45,high,0.05555555555555558,0.3333333333333333,-0.03703703703703698,-0.037037037037037035,0.16883116883116878,,0.16666666666666669,-0.05555555555555547,0.07592592592592595,0.0759259259259259,-0.11111111111111116,-2.134259259259259,,-0.33333333333333337,-0.27777777777777773,-0.18888888888888888,-0.18888888888888888,,0.0,-0.27777777777777773,0.0,0.0,,0.33333333333333337,0.16666666666666669,-0.11111111111111116,-2.134259259259259,,0.16666666666666669,0.16666666666666669,-0.11111111111111116,-2.134259259259259,,0.0
historical_newspapers_real_grouped_gold,real_grouped_manifest_sequences,calibrated_classifier,0.0,low,0.0,0.11111111111111116,0.0,0.0,0.025974025974025983,,0.0,-0.11111111111111116,0.0,0.0,-0.02777777777777779,-0.05555555555555558,,0.0,0.0,0.0,0.0,,0.0,-0.11111111111111116,0.0,0.0,,0.0,-0.11111111111111116,-0.02777777777777779,-0.05555555555555558,,0.0,0.0,-0.02777777777777779,-0.05555555555555558,,0.0
historical_newspapers_real_grouped_gold,real_grouped_manifest_sequences,calibrated_classifier,0.15,low,-0.05555555555555547,0.05555555555555558,-0.01388888888888884,-0.013888888888888888,0.025974025974025983,,0.05555555555555547,-0.05555555555555558,0.01388888888888884,0.013888888888888888,-0.01388888888888895,-0.22870370370370363,,-0.05555555555555558,0.0,-0.01388888888888895,-0.013888888888888888,,0.0,-0.11111111111111105,0.0,0.0,,0.11111111111111105,-0.05555555555555558,-0.01388888888888895,-0.22870370370370363,,0.05555555555555547,0.05555555555555547,-0.01388888888888895,-0.22870370370370363,,0.0
historical_newspapers_real_grouped_gold,real_grouped_manifest_sequences,calibrated_classifier,0.3,medium,-0.11111111111111116,0.0,-0.02777777777777779,-0.027777777777777783,0.025974025974025983,,0.11111111111111116,0.0,0.02777777777777779,0.027777777777777783,-0.01388888888888884,-0.47037037037037055,,-0.11111111111111105,0.05555555555555547,-0.02777777777777779,-0.027777777777777776,,0.0,-0.11111111111111116,0.0,0.0,,0.2222222222222222,-0.05555555555555547,-0.01388888888888884,-0.47037037037037055,,0.11111111111111116,0.11111111111111116,-0.01388888888888884,-0.47037037037037055,,0.0
historical_newspapers_real_grouped_gold,real_grouped_manifest_sequences,calibrated_classifier,0.45,high,-0.05555555555555547,0.05555555555555558,-0.02314814814814814,-0.02314814814814814,0.09090909090909094,,0.05555555555555547,-0.05555555555555558,0.02314814814814814,0.02314814814814814,-0.04166666666666663,-0.5324074074074074,,-0.22222222222222227,0.05555555555555558,-0.09166666666666667,-0.09166666666666669,,0.0,-0.11111111111111105,0.0,0.0,,0.22222222222222227,-0.11111111111111116,-0.04166666666666663,-0.5324074074074074,,0.05555555555555547,0.05555555555555547,-0.04166666666666663,-0.5324074074074074,,0.0
