dataset,task_name,posterior_strategy_requested,mean_uncertainty_sequence_exact_delta,mean_uncertainty_sequence_topk_delta,mean_uncertainty_symbol_topk_delta,mean_uncertainty_family_delta,mean_conformal_sequence_exact_delta,mean_conformal_sequence_topk_delta,mean_conformal_coverage_delta,mean_conformal_set_size_delta,mean_conformal_family_delta,mean_trigram_sequence_exact_delta,mean_trigram_sequence_topk_delta,mean_trigram_family_delta,mean_crf_sequence_exact_delta,mean_crf_sequence_topk_delta,mean_crf_family_delta,mean_conformal_trigram_sequence_exact_delta,mean_conformal_trigram_sequence_topk_delta,mean_conformal_trigram_coverage_delta,mean_conformal_trigram_set_size_delta,mean_conformal_trigram_family_delta,mean_conformal_crf_sequence_exact_delta,mean_conformal_crf_sequence_topk_delta,mean_conformal_crf_coverage_delta,mean_conformal_crf_set_size_delta,mean_conformal_crf_family_delta,peak_uncertainty_exact_delta,peak_ambiguity_for_uncertainty_exact_delta,peak_ambiguity_for_trigram_sequence_exact_delta,peak_ambiguity_for_crf_sequence_exact_delta,peak_ambiguity_for_family_delta
historical_newspapers_real_grouped_gold,real_grouped_manifest_sequences,calibrated_classifier,-0.055555555555555525,0.05555555555555558,0.04220779220779222,,0.055555555555555525,-0.05555555555555558,-0.024305555555555552,-0.3217592592592593,,-0.09722222222222222,0.027777777777777762,,0.0,-0.1111111111111111,,0.1388888888888889,-0.08333333333333334,-0.024305555555555552,-0.3217592592592593,,0.055555555555555525,0.055555555555555525,-0.024305555555555552,-0.3217592592592593,,0.0,0.0,0.0,0.0,
historical_newspapers_real_grouped_gold,real_grouped_manifest_sequences,cluster_distance,-0.12499999999999997,0.05555555555555554,0.08441558441558442,,0.2222222222222222,0.06944444444444448,-0.06250000000000003,-1.9708333333333332,,-0.2777777777777778,-0.05555555555555554,,0.0,-0.18055555555555552,,0.41666666666666663,0.11111111111111112,-0.06250000000000003,-1.9708333333333332,,0.2222222222222222,0.2222222222222222,-0.06250000000000003,-1.9708333333333332,,0.05555555555555558,0.45,0.0,0.0,
