dataset,task_name,posterior_strategy_requested,mean_uncertainty_sequence_exact_delta,mean_uncertainty_sequence_topk_delta,mean_uncertainty_symbol_topk_delta,mean_uncertainty_family_delta,mean_conformal_sequence_exact_delta,mean_conformal_sequence_topk_delta,mean_conformal_coverage_delta,mean_conformal_set_size_delta,mean_conformal_family_delta,mean_trigram_sequence_exact_delta,mean_trigram_sequence_topk_delta,mean_trigram_family_delta,mean_crf_sequence_exact_delta,mean_crf_sequence_topk_delta,mean_crf_family_delta,mean_conformal_trigram_sequence_exact_delta,mean_conformal_trigram_sequence_topk_delta,mean_conformal_trigram_coverage_delta,mean_conformal_trigram_set_size_delta,mean_conformal_trigram_family_delta,mean_conformal_crf_sequence_exact_delta,mean_conformal_crf_sequence_topk_delta,mean_conformal_crf_coverage_delta,mean_conformal_crf_set_size_delta,mean_conformal_crf_family_delta,peak_uncertainty_exact_delta,peak_ambiguity_for_uncertainty_exact_delta,peak_ambiguity_for_trigram_sequence_exact_delta,peak_ambiguity_for_crf_sequence_exact_delta,peak_ambiguity_for_family_delta
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,-0.04166666666666666,0.25,0.26369863013698625,,0.0,-0.013888888888888895,-0.016666666666666635,-0.39583333333333315,,-0.09722222222222224,-0.18055555555555558,,0.0,-0.29166666666666674,,0.0,0.013888888888888895,-0.016666666666666635,-0.39583333333333315,,0.0,0.0,-0.016666666666666635,-0.39583333333333315,,0.1111111111111111,0.3,0.15,0.0,
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.11111111111111112,0.3611111111111111,0.34246575342465746,,-0.04166666666666668,-0.06944444444444443,-0.11874999999999997,-2.1631944444444446,,-0.19444444444444445,-0.2777777777777778,,0.0,-0.25,,0.05555555555555555,0.09722222222222222,-0.11874999999999997,-2.1631944444444446,,-0.04166666666666668,-0.04166666666666668,-0.11874999999999997,-2.1631944444444446,,0.11111111111111113,0.0,0.3,0.0,
