dataset,task_name,posterior_strategy_requested,ambiguity_level,method,sequence_exact_match,sequence_token_accuracy,sequence_topk_recovery,sequence_cer,symbol_topk_accuracy,prediction_set_coverage,prediction_set_avg_size,prediction_set_singleton_rate,prediction_set_rescue_rate,family_identification_accuracy,family_identification_topk_recovery,source_dataset_name,selected_symbol_count,sequence_length,synthetic_from_real
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.0,conformal_beam,0.2222222222222222,0.7138888888888889,0.5,0.28611111111111115,0.8767123287671232,0.8777777777777778,1.7944444444444443,0.2888888888888889,0.2888888888888889,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.0,conformal_crf_viterbi,0.2222222222222222,0.7138888888888889,0.2222222222222222,0.28611111111111115,0.8767123287671232,0.8777777777777778,1.7944444444444443,0.2888888888888889,0.2888888888888889,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.0,conformal_trigram_beam,0.05555555555555555,0.55,0.2777777777777778,0.44999999999999996,0.8767123287671232,0.8777777777777778,1.7944444444444443,0.2888888888888889,0.2888888888888889,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.0,fixed_greedy,0.16666666666666666,0.5888888888888889,0.16666666666666666,0.41111111111111115,0.589041095890411,0.5888888888888889,1.0,1.0,0.0,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.0,uncertainty_beam,0.2777777777777778,0.6305555555555555,0.5,0.36944444444444446,0.958904109589041,0.9861111111111112,3.888888888888889,0.0,0.39722222222222225,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.0,uncertainty_crf_viterbi,0.2777777777777778,0.6305555555555555,0.2777777777777778,0.36944444444444446,0.958904109589041,0.9861111111111112,3.888888888888889,0.0,0.39722222222222225,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.0,uncertainty_trigram_beam,0.05555555555555555,0.6194444444444445,0.2222222222222222,0.38055555555555554,0.958904109589041,0.9861111111111112,3.888888888888889,0.0,0.39722222222222225,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.15,conformal_beam,0.2222222222222222,0.7277777777777777,0.3888888888888889,0.27222222222222225,0.863013698630137,0.8638888888888889,1.6722222222222223,0.39722222222222225,0.23333333333333334,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.15,conformal_crf_viterbi,0.2222222222222222,0.7277777777777777,0.2222222222222222,0.27222222222222225,0.863013698630137,0.8638888888888889,1.6722222222222223,0.39722222222222225,0.23333333333333334,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.15,conformal_trigram_beam,0.1111111111111111,0.5916666666666667,0.3333333333333333,0.4083333333333333,0.863013698630137,0.8638888888888889,1.6722222222222223,0.39722222222222225,0.23333333333333334,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.15,fixed_greedy,0.16666666666666666,0.6305555555555555,0.16666666666666666,0.36944444444444446,0.6301369863013698,0.6305555555555555,1.0,1.0,0.0,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.15,uncertainty_beam,0.2777777777777778,0.6861111111111111,0.5,0.3138888888888889,0.958904109589041,0.9861111111111112,3.9444444444444446,0.0,0.35555555555555557,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.15,uncertainty_crf_viterbi,0.2777777777777778,0.6861111111111111,0.2777777777777778,0.3138888888888889,0.958904109589041,0.9861111111111112,3.9444444444444446,0.0,0.35555555555555557,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
