dataset,task_name,posterior_strategy_requested,ambiguity_level,ambiguity_regime,uncertainty_sequence_exact_delta,uncertainty_sequence_topk_delta,uncertainty_token_accuracy_delta,uncertainty_cer_improvement,uncertainty_symbol_topk_delta,uncertainty_family_delta,conformal_sequence_exact_delta,conformal_sequence_topk_delta,conformal_token_accuracy_delta,conformal_cer_improvement,conformal_coverage_delta,conformal_set_size_delta,conformal_family_delta,trigram_sequence_exact_delta,trigram_sequence_topk_delta,trigram_token_accuracy_delta,trigram_cer_improvement,trigram_family_delta,crf_sequence_exact_delta,crf_sequence_topk_delta,crf_token_accuracy_delta,crf_cer_improvement,crf_family_delta,conformal_trigram_sequence_exact_delta,conformal_trigram_sequence_topk_delta,conformal_trigram_coverage_delta,conformal_trigram_set_size_delta,conformal_trigram_family_delta,conformal_crf_sequence_exact_delta,conformal_crf_sequence_topk_delta,conformal_crf_coverage_delta,conformal_crf_set_size_delta,conformal_crf_family_delta,family_signal_available
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.0,low,0.11111111111111113,0.33333333333333337,0.04166666666666663,0.041666666666666685,0.36986301369863006,,-0.05555555555555558,0.0,0.08333333333333337,0.08333333333333331,-0.10833333333333339,-2.0944444444444446,,-0.22222222222222224,-0.2777777777777778,-0.011111111111111072,-0.011111111111111072,,0.0,-0.2222222222222222,0.0,0.0,,0.0,0.05555555555555558,-0.10833333333333339,-2.0944444444444446,,-0.05555555555555558,-0.05555555555555558,-0.10833333333333339,-2.0944444444444446,,0.0
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.15,low,0.11111111111111113,0.33333333333333337,0.05555555555555558,0.05555555555555558,0.3287671232876712,,-0.05555555555555558,-0.1111111111111111,0.04166666666666663,0.04166666666666663,-0.12222222222222223,-2.272222222222222,,-0.22222222222222224,-0.2222222222222222,-0.12222222222222223,-0.10833333333333334,,0.0,-0.2222222222222222,0.0,0.0,,0.05555555555555555,0.055555555555555525,-0.12222222222222223,-2.272222222222222,,-0.05555555555555558,-0.05555555555555558,-0.12222222222222223,-2.272222222222222,,0.0
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.3,medium,0.1111111111111111,0.3888888888888889,0.05555555555555558,0.05555555555555558,0.36986301369863017,,0.0,-0.1111111111111111,0.08333333333333337,0.08333333333333331,-0.12222222222222212,-2.230555555555555,,-0.16666666666666666,-0.33333333333333337,-0.12222222222222223,-0.10833333333333328,,0.0,-0.2777777777777778,0.0,0.0,,0.1111111111111111,0.05555555555555555,-0.12222222222222212,-2.230555555555555,,0.0,0.0,-0.12222222222222212,-2.230555555555555,,0.0
scadsai_real_grouped,real_grouped_manifest_sequences,cluster_distance,0.45,high,0.1111111111111111,0.38888888888888884,0.01388888888888895,0.013888888888888895,0.3013698630136986,,-0.05555555555555555,-0.055555555555555525,-0.011111111111111072,-0.011111111111111072,-0.12222222222222212,-2.0555555555555554,,-0.16666666666666666,-0.2777777777777778,-0.05277777777777781,-0.05277777777777776,,0.0,-0.2777777777777778,0.0,0.0,,0.05555555555555555,0.22222222222222224,-0.12222222222222212,-2.0555555555555554,,-0.05555555555555555,-0.05555555555555555,-0.12222222222222212,-2.0555555555555554,,0.0
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.0,low,-0.055555555555555525,0.27777777777777785,0.002777777777777768,0.002777777777777768,0.20547945205479445,,0.0,0.0,0.0,0.0,-0.01388888888888884,-0.27222222222222214,,-0.05555555555555558,-0.11111111111111116,-0.10833333333333328,-0.09444444444444439,,0.0,-0.33333333333333337,0.0,0.0,,0.0,0.0,-0.01388888888888884,-0.27222222222222214,,0.0,0.0,-0.01388888888888884,-0.27222222222222214,,0.0
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.15,low,-0.16666666666666666,0.22222222222222227,-0.01388888888888884,-0.01388888888888884,0.2465753424657534,,0.0,0.0,0.0,0.0,0.0,-0.08333333333333304,,-0.05555555555555555,-0.11111111111111116,-0.08055555555555549,-0.06666666666666665,,0.0,-0.38888888888888895,0.0,0.0,,0.0,0.0,0.0,-0.08333333333333304,,0.0,0.0,0.0,-0.08333333333333304,,0.0
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.3,medium,0.1111111111111111,0.2222222222222222,0.002777777777777768,0.030555555555555614,0.3013698630136986,,0.0,0.0,0.0,0.0,-0.01388888888888884,-0.5666666666666664,,-0.2222222222222222,-0.2222222222222222,-0.06944444444444442,-0.09722222222222227,,0.0,-0.1111111111111111,0.0,0.0,,0.0,0.05555555555555558,-0.01388888888888884,-0.5666666666666664,,0.0,0.0,-0.01388888888888884,-0.5666666666666664,,0.0
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.45,high,-0.05555555555555555,0.2777777777777778,0.05555555555555547,0.05555555555555558,0.3013698630136986,,0.0,-0.05555555555555558,0.0,0.0,-0.03888888888888886,-0.661111111111111,,-0.05555555555555555,-0.2777777777777778,-0.10833333333333328,-0.10833333333333334,,0.0,-0.33333333333333337,0.0,0.0,,0.0,0.0,-0.03888888888888886,-0.661111111111111,,0.0,0.0,-0.03888888888888886,-0.661111111111111,,0.0
